S.no,credit_amount
1,775
2,6686
3,3347
4,3850
5,3601
6,2895
7,5735
8,1752
9,-155
10,1519
11,3667
12,575
13,3741
14,747
15,9239
16,5672
17,4848
18,4198
19,4163
20,2728
21,3445
22,321
23,571
24,-77
25,2966
26,1079
27,2258
28,1508
29,6676
30,4186
31,5145
32,3234
33,68
34,3806
35,1924
36,5309
37,5279
38,2600
39,5127
40,3910
41,3750
42,1016
43,3037
44,3284
45,6504
46,2493
47,3329
48,958
49,4554
50,2465
51,1975
52,3550
53,2042
54,3248
55,1319
56,2961
57,2996
58,3289
59,4313
60,1449
61,4040
62,1647
63,1158
64,4686
65,2779
66,523
67,3718
68,2204
69,4901
70,2808
71,3095
72,6459
73,5920
74,2470
75,2895
76,2103
77,4938
78,1289
79,6175
80,3090
81,5621
82,3126
83,3155
84,583
85,5408
86,3104
87,2290
88,6419
89,5582
90,5445
91,2532
92,4673
93,2137
94,2845
95,4015
96,1649
97,4309
98,2471
99,2907
100,955
101,2738
102,2758
103,3867
104,1404
105,3124
106,5924
107,63
108,1334
109,9520
110,3239
111,1113
112,-359
113,4914
114,5562
115,5488
116,5449
117,1356
118,3306
119,7539
120,650
121,1393
122,989
123,4601
124,598
125,4347
126,2522
127,4288
128,3706
129,4663
130,6956
131,3752
132,2554
133,7240
134,3644
135,1603
136,1457
137,854
138,1678
139,3510
140,1838
141,4037
142,2782
143,935
144,3863
145,2372
146,3985
147,3213
148,1654
149,767
150,728
151,2279
152,3948
153,2822
154,2671
155,5908
156,2197
157,1155
158,3000
159,2326
160,3072
161,2641
162,2521
163,2380
164,3571
165,2026
166,2047
167,1582
168,2400
169,4931
170,914
171,5399
172,2602
173,3799
174,1108
175,1949
176,679
177,4733
178,4055
179,3491
180,4463
181,4720
182,4571
183,3228
184,1817
185,3412
186,234
187,4422
188,7714
189,6008
190,4533
191,5279
192,2440
193,1524
194,5264
195,3031
196,6445
197,3874
198,1321
199,3293
200,2993
201,3879
202,3441
203,5534
204,1928
205,4392
206,4173
207,3546
208,4150
209,3391
210,2051
211,3369
212,3241
213,3950
214,3376
215,4656
216,11044
217,2463
218,4349
219,4133
220,4917
221,2353
222,7483
223,945
224,2325
225,4668
226,2555
227,1875
228,6421
229,3939
230,1161
231,3064
232,1209
233,1390
234,1766
235,772
236,5058
237,532
238,1944
239,6771
240,5481
241,4178
242,1335
243,3541
244,1315
245,1660
246,7452
247,3808
248,3508
249,1214
250,3314
251,2957
252,6815
253,2592
254,5561
255,1249
256,4502
257,3608
258,1715
259,3491
260,2614
261,1302
262,4254
263,2580
264,3464
265,408
266,3168
267,3204
268,3254
269,5972
270,3370
271,1220
272,4476
273,5502
274,7772
275,3859
276,2209
277,493
278,2689
279,2633
280,2727
281,4454
282,8318
283,5653
284,4712
285,3816
286,1773
287,6537
288,1272
289,4909
290,3005
291,2581
292,1522
293,2587
294,5808
295,2028
296,611
297,4722
298,982
299,6069
300,5339
